10/01/2020,HSV,43,50,34,8.34
10/01/2020,MOB,49,57,39,6.58
10/01/2020,MGM,47,55,38,7.55
10/01/2020,ANC,28,33,22,4.02
10/01/2020,ANN,36,43,27,5.42
10/01/2020,BET,28,35,21,18
10/01/2020,BTT,6,19,-2,3.98
10/01/2020,CDB,32,35,29,14.3
10/01/2020,CDV,35,42,29,5.88
10/01/2020,BIG,13,17,9,18.5
10/01/2020,FAI,2,12,-7,1.58
10/01/2020,GKN,0,7,-6,1.35
10/01/2020,HOM,37,42,31,9.45
10/01/2020,ILI,37,41,33,14.15
10/01/2020,JNU,27,31,22,1.81
10/01/2020,ENA,30,35,25,13.51
10/01/2020,KTN,34,39,28,5.17
10/01/2020,AKN,35,41,29,14.55
10/01/2020,ADQ,37,41,33,16.28
10/01/2020,OTZ,23,27,18,18.08
10/01/2020,MCG,14,24,4,1.72
10/01/2020,OME,29,32,24,16.57
10/01/2020,ORT,-13,-8,-19,0.32
10/01/2020,PAQ,27,36,21,8.87
10/01/2020,PSG,60,60,60,2.34
10/01/2020,PTI,60,60,60,0
10/01/2020,SYA,60,60,60,14
10/01/2020,SIT,39,43,33,6.31
10/01/2020,SGY,33,36,29,18.64
10/01/2020,SNP,32,36,29,18.52
10/01/2020,TKA,24,32,16,5.15
10/01/2020,TAL,9,16,1,4.65
10/01/2020,BRW,8,16,0,12.25
10/01/2020,YAK,33,39,25,2.42
10/01/2020,DUG,41,52,30,4.5
10/01/2020,IGM,42,49,34,5.17
10/01/2020,PHX,52,57,47,3.64
10/01/2020,TUS,48,56,41,4.98
10/01/2020,INW,35,45,25,3.81
10/01/2020,FSM,38,44,30,7.5
10/01/2020,HRO,34,42,26,7.78
10/01/2020,LZK,40,47,32,0
10/01/2020,BFL,51,58,43,1.75
10/01/2020,BIH,36,48,24,5.4
10/01/2020,NID,43,52,34,3.8
10/01/2020,CCR,49,54,44,2.94
10/01/2020,EKA,49,55,42,0
10/01/2020,FAT,47,54,41,3.42
10/01/2020,HWD,51,56,46,5.81
10/01/2020,LGB,55,62,48,1.58
